About,BrandCode,BrandName,CatalogueCode,CatalogueName,CategoryCode,CategoryName,Cost,Currency,MainImage,Market,ModelNumber,MyPrice,ProductName,RatingValue,SKU,StockAvailability,URL,attributes,reviews
"Color: Starlight Black Upto 16000 songs or 30000 photos Internal Memory: 128 GB Advanced games & running multiple applications RAM: 8 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 64+2+2 MP / 16 MP Actual size in inches measured diagonally Screen Size: 6.43 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: 12.1 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-core 2.2 GHz Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 4500 mAh",,Oppo,1,Electronics,1,Mobile Phones,1499.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S200782913_1?1726637792",UAE,CPH2457 ,1499.0,Oppo Reno8 Z 128GB Starlight Black 5G Dual Sim Smartphone,4.8,S200782913,1,https://uae.sharafdg.com/product/oppo-reno8-z-128gb-starlight-black-5g-dual-sim-smartphone/,"[{'name': 'Color', 'value': 'Starlight Black'}, {'name': 'Internal Memory', 'value': '128 GB'}, {'name': 'OS Version', 'value': '12.1'}, {'name': 'Processor Number', 'value': 'Qualcomm SM6375 Snapdragon 695 5G (6 nm)'}, {'name': 'RAM', 'value': '8 GB'}]",
"Upto 16000 songs or 30000 photos Internal Memory: 128 GB Advanced games & running multiple applications RAM: 6 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 13 + 2 + MP / 8 MP Actual size in inches measured diagonally Screen Size: 6.56 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: 11, 11.1 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-Core 2.4 GHz Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 5000 mAh",,Oppo,1,Electronics,1,Mobile Phones,899.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S200741310_1?1721743687",UAE,CPH2375 ,899.0,Oppo A76 CPH2375 128GB 6GB Glowing Black 4G Dual Sim Smartphone,3.8,S200741310,1,https://uae.sharafdg.com/product/oppo-a76-cph2375-128gb-glowing-black-4g-dual-sim-smartphone/,"[{'name': 'Internal Memory', 'value': '128 GB'}, {'name': 'OS Version', 'value': '11, 11.1'}, {'name': 'Processor Number', 'value': 'Qualcomm SM6225 Snapdragon 680 4G (6 nm)'}, {'name': 'RAM', 'value': '6 GB'}]",
"Color: Graphite Upto 32000 songs or 60000 photos Internal Memory: 256 GB Advanced games & running multiple applications RAM: 8 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 12 MP + 12 MP / 10 MP Actual size in inches measured diagonally Screen Size: 6.7 in Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 3700 mAh Region: Middle East Version",,Samsung,1,Electronics,1,Mobile Phones,3899.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S300847843_1?1724243351",UAE,SM-F731BZA1MEA ,3899.0,Samsung Galaxy Z Flip5 5G 256GB Graphite Smartphone - Middle East Version (Display Unit),4.2,S300847843,1,https://uae.sharafdg.com/product/samsung-galaxy-z-flip5-5g-256gb-graphite-smartphone-middle-east-version-display-unit/,"[{'name': 'Color', 'value': 'Graphite'}, {'name': 'Internal Memory', 'value': '256 GB'}, {'name': 'Processor Number', 'value': 'Snapdragon 8 Gen 2'}, {'name': 'RAM', 'value': '8 GB'}]",
"Color: Cream Upto 32000 songs or 60000 photos Internal Memory: 256 GB Advanced games & running multiple applications RAM: 8 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 12 MP + 12 MP / 10 MP Actual size in inches measured diagonally Screen Size: 6.7 in Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 3700 mAh Region: Middle East Version",,Samsung,1,Electronics,1,Mobile Phones,3899.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S300847844_1?1726640032",UAE,SM-F731BZE1MEA ,3899.0,Samsung Galaxy Z Flip5 5G 256GB Cream Smartphone - Middle East Version (Display Unit),4.2,S300847844,1,https://uae.sharafdg.com/product/samsung-galaxy-z-flip5-5g-256gb-cream-smartphone-middle-east-version-display-unit/,"[{'name': 'Color', 'value': 'Cream'}, {'name': 'Internal Memory', 'value': '256 GB'}, {'name': 'Processor Number', 'value': 'Snapdragon 8 Gen 2'}, {'name': 'RAM', 'value': '8 GB'}]",
About,BrandCode,BrandName,CatalogueCode,CatalogueName,CategoryCode,CategoryName,Cost,Currency,MainImage,Market,ModelNumber,MyPrice,ProductName,RatingValue,SKU,StockAvailability,URL,attributes,reviews
"Actual size in inches measured diagonally Screen Size: 6.3 Inches Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 16+5+8 MP / 8 MP Advanced games & running multiple applications RAM: 4 GB Upto 8000 songs or 15000 photos Internal Memory: 64 GB Color: Ice It is version of software platform on top of which other programs, can run on mobile devices OS Version: Pie 9.0 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-core 1.8 GHz Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 3500mAh",,Nokia,1,Electronics,1,Mobile Phones,713.33,AED,"https://cdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/assets/7/9/3/b/793bf9c94601f446e93afe4f57f2c2f9359d6582_Capture.JPG111.JPG",UAE,TA-1198 ,713.33,Nokia 6.2 64GB Ice 4G Dual Sim Smartphone - TA1198,4.0,000000000001151081,1,https://uae.sharafdg.com/product/nokia-6-2-64gb-ice-4g-dual-sim-smartphone-ta1198/,"[{'name': 'Color', 'value': 'Ice'}, {'name': 'Internal Memory', 'value': '64 GIGABYTE'}, {'name': 'OS Version', 'value': 'Pie 9.0'}, {'name': 'Processor Number', 'value': 'Qualcomm® Snapdragon™ 636'}, {'name': 'RAM', 'value': '4 GIGABYTE'}]",
"Color: Iris Purple Upto 16000 songs or 30000 photos Internal Memory: 128 GB Advanced games & running multiple applications RAM: 4 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 16 + 2 MP / 24 + 2 MP Actual size in inches measured diagonally Screen Size: 6.3 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: Oreo 8.1 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-core 2.2 GHz Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 3340mAh Region: Middle East Version",,Huawei,1,Electronics,1,Mobile Phones,899.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/Huawei_Nova3i_INELX1_iris_purple_1?1718375084",UAE,INELX1 ,899.0,Huawei nova 3i 128GB Iris Purple Dual Sim Smartphone INELX1,4.5,000000001056634001,1,https://uae.sharafdg.com/product/huawei-nova-3i-128gb-iris-purple-dual-sim-smartphone-inelx1/,"[{'name': 'Color', 'value': 'Iris Purple'}, {'name': 'Internal Memory', 'value': '128 GB'}, {'name': 'OS Version', 'value': 'Oreo 8.1'}, {'name': 'Processor Number', 'value': 'Hisilicon Kirin 710'}, {'name': 'RAM', 'value': '4 GB'}]",
"Color: Blue Upto 8000 songs or 15000 photos Internal Memory: 64 GB Advanced games & running multiple applications RAM: 4 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 20 MP + 2 MP / 16 MP Actual size in inches measured diagonally Screen Size: 6.5 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: Oreo 8.1 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-core 2.2 GHz Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 3750mAh",,Honor,1,Electronics,1,Mobile Phones,899.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/000000001063545005_1?1718375084",UAE,JSN-L22 ,899.0,Honor 8X 64GB Blue 4G Dual Sim Smartphone,4.3,000000001063545005,1,https://uae.sharafdg.com/product/honor-8x-64gb-blue-4g-dual-sim-smartphone-2/,"[{'name': 'Color', 'value': 'Blue'}, {'name': 'Internal Memory', 'value': '64 GB'}, {'name': 'OS Version', 'value': 'Oreo 8.1'}, {'name': 'Processor Number', 'value': 'HiSilicon Kirin 710'}, {'name': 'RAM', 'value': '4 GB'}]",
"Color: Cosmic Black Upto 16000 songs or 30000 photos Internal Memory: 128 GB Advanced games & running multiple applications RAM: 8 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 12+12+64 MP+Depth Vision / 10 MP Actual size in inches measured diagonally Screen Size: 6.7 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: 10 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-core Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 4500mAh",,Samsung,1,Electronics,1,Mobile Phones,3141.9,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/000000000001186010_1?1703625569",UAE,SM-G985FZKDXSG ,3141.9,Samsung Galaxy S20+ 128GB Cosmic Black 4G Smartphone,4.4,000000000001186010,1,https://uae.sharafdg.com/product/samsung-galaxy-s20-128gb-cosmic-black-4g-smartphone/,"[{'name': 'Color', 'value': 'Cosmic Black'}, {'name': 'Internal Memory', 'value': '128 GB'}, {'name': 'OS Version', 'value': '10'}, {'name': 'RAM', 'value': '8 GB'}]",
"Color: Violet Upto 16000 songs or 30000 photos Internal Memory: 128 GB Advanced games & running multiple applications RAM: 4 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 50 MP + 2 MP + 2 MP / 13 MP Actual size in inches measured diagonally Screen Size: 6.7 in Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-Core Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 5000 mAh",,Samsung,1,Electronics,1,Mobile Phones,549.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S300867920_1?1726561115",UAE,SM-A057FLVGMEA ,549.0,Samsung A05s 4GB 128GB Light Violet 4G Smartphone,4.6,S300867920,1,https://uae.sharafdg.com/product/samsung-a05s-128gb-light-violet-4g-smartphone-2/,"[{'name': 'Color', 'value': 'Violet'}, {'name': 'Internal Memory', 'value': '128 GB'}, {'name': 'Processor Number', 'value': 'Snapdragon 680 Qualcomm SM6225'}, {'name': 'RAM', 'value': '4 GB'}]",
"Color: Clover Upto 32000 songs or 60000 photos Internal Memory: 256 GB Advanced games & running multiple applications RAM: 8 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 50 MP + 2 MP / 8 MP Actual size in inches measured diagonally Screen Size: 6.74 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: MIUI 14 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-Core Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 5000 mAh",,Xiaomi,1,Electronics,1,Mobile Phones,539.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S300864764_1?1726583733",UAE,23106RN0DA ,539.0,Xiaomi Redmi 13C 256GB Clover Green 4G Smartphone,4.0,S300864764,1,https://uae.sharafdg.com/product/xiaomi-redmi-13c-256gb-clover-green-4g-smartphone/,"[{'name': 'Color', 'value': 'Clover'}, {'name': 'Internal Memory', 'value': '256 GB'}, {'name': 'OS Version', 'value': 'MIUI 14'}, {'name': 'Processor Number', 'value': 'MediaTek Helio G85'}, {'name': 'RAM', 'value': '8 GB'}]",
"Color: Graphite Upto 32000 songs or 60000 photos Internal Memory: 256 GB Advanced games & running multiple applications RAM: 8 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 12 MP + 12 MP / 10 MP Actual size in inches measured diagonally Screen Size: 6.7 in Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 3700 mAh Region: Middle East Version",,Samsung,1,Electronics,1,Mobile Phones,3899.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S300847843_1?1724243351",UAE,SM-F731BZA1MEA ,3899.0,Samsung Galaxy Z Flip5 5G 256GB Graphite Smartphone - Middle East Version (Display Unit),4.2,S300847843,1,https://uae.sharafdg.com/product/samsung-galaxy-z-flip5-5g-256gb-graphite-smartphone-middle-east-version-display-unit/,"[{'name': 'Color', 'value': 'Graphite'}, {'name': 'Internal Memory', 'value': '256 GB'}, {'name': 'Processor Number', 'value': 'Snapdragon 8 Gen 2'}, {'name': 'RAM', 'value': '8 GB'}]",
"Color: Cream Upto 32000 songs or 60000 photos Internal Memory: 256 GB Advanced games & running multiple applications RAM: 8 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 12 MP + 12 MP / 10 MP Actual size in inches measured diagonally Screen Size: 6.7 in Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 3700 mAh Region: Middle East Version",,Samsung,1,Electronics,1,Mobile Phones,3899.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S300847844_1?1726640032",UAE,SM-F731BZE1MEA ,3899.0,Samsung Galaxy Z Flip5 5G 256GB Cream Smartphone - Middle East Version (Display Unit),4.2,S300847844,1,https://uae.sharafdg.com/product/samsung-galaxy-z-flip5-5g-256gb-cream-smartphone-middle-east-version-display-unit/,"[{'name': 'Color', 'value': 'Cream'}, {'name': 'Internal Memory', 'value': '256 GB'}, {'name': 'Processor Number', 'value': 'Snapdragon 8 Gen 2'}, {'name': 'RAM', 'value': '8 GB'}]",
"Color: Iron Steel Upto 8000 songs or 15000 photos Internal Memory: 64 GB Advanced games & running multiple applications RAM: 4 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 12 MP + 13 MP / 20 MP Actual size in inches measured diagonally Screen Size: 6.18 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: Pie 9.0 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-core Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 3500mAh",,Nokia,1,Electronics,1,Mobile Phones,999.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/000000001080318002_1?1718102292",UAE,TA-1119 ,999.0,Nokia 8.1 64GB Iron Steel Dual Sim Smartphone TA1119,4.2,000000001080318002,1,https://uae.sharafdg.com/product/nokia-8-1-64gb-iron-steel-dual-sim-smartphone-ta1119/,"[{'name': 'Color', 'value': 'Iron Steel'}, {'name': 'Internal Memory', 'value': '64 GB'}, {'name': 'OS Version', 'value': 'Pie 9.0'}, {'name': 'Processor Number', 'value': 'Qualcomm Snapdragon 710'}, {'name': 'RAM', 'value': '4 GB'}]",
"Color: Crush Green Upto 16000 songs or 30000 photos Internal Memory: 128 GB Advanced games & running multiple applications RAM: 8 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 48+8+2+2 MP / 16 MP Actual size in inches measured diagonally Screen Size: 6.4 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: EMUI 10.0.1 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-core 2.27 GHz Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 4200mAh Region: Middle East Version",,Huawei,1,Electronics,1,Mobile Phones,949.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/Huawei_Nova7i_JENNYL21B_crush_green_1?1718375076",UAE,JNY-LX1 ,949.0,Huawei nova 7i 128GB Crush Green 4G Dual Sim Smartphone JENNY-L21B,3.9,000000000001189115,1,https://uae.sharafdg.com/product/huawei-nova-7i-128gb-crush-green-4g-dual-sim-smartphone-jenny-l21b/,"[{'name': 'Color', 'value': 'Crush Green'}, {'name': 'Internal Memory', 'value': '128 GB'}, {'name': 'OS Version', 'value': 'EMUI 10.0.1'}, {'name': 'Processor Number', 'value': 'HiSilicon Kirin 810 (7 nm)'}, {'name': 'RAM', 'value': '8 GB'}]",
"Color: Titanium Silver Upto 16000 songs or 30000 photos Internal Memory: 128 GB Advanced games & running multiple applications RAM: 6 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 64 + 5 + 2 + 2 MP / 16 MP Actual size in inches measured diagonally Screen Size: 6.7 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: 11, 4.2 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-Core 2.4 GHz Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 4000 mAh",,Honor,1,Electronics,1,Mobile Phones,799.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S200740619_1?1718375135",UAE,TFY-LX2 ,799.0,Honor X8 TFY-LX2 128GB Titanium Silver 4G Dual Sim Smartphone,4.3,S200740619,1,https://uae.sharafdg.com/product/honor-x8-tfy-lx2-128gb-titanium-silver-4g-dual-sim-smartphone/,"[{'name': 'Color', 'value': 'Titanium Silver'}, {'name': 'Internal Memory', 'value': '128 GB'}, {'name': 'OS Version', 'value': '11, 4.2'}, {'name': 'Processor Number', 'value': 'Qualcomm SM6225 Snapdragon 680 4G (6 nm)'}, {'name': 'RAM', 'value': '6 GB'}]",
"Color: Polished Blue Upto 8000 songs or 15000 photos Internal Memory: 64 GB Advanced games & running multiple applications RAM: 4 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: Dual 13 MP / 13 MP Actual size in inches measured diagonally Screen Size: 5.3 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: Oreo 8.0 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-core Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 3090 mAh",,Nokia,1,Electronics,1,Mobile Phones,1698.9,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/000000001000004001_1?1718375083",UAE,TA1004 ,1698.9,Nokia 8 64GB Polished Blue TA-1004 4G Dual Sim Smartphone,4.2,000000001000004001,1,https://uae.sharafdg.com/product/nokia-8-ta1004-4g-dual-sim-smartphone-64gb-polished-blue/,"[{'name': 'Color', 'value': 'Polished Blue'}, {'name': 'Internal Memory', 'value': '64 GB'}, {'name': 'OS Version', 'value': 'Oreo 8.0'}, {'name': 'Processor Number', 'value': 'Qualcomm MSM8998 Snapdragon 835'}, {'name': 'RAM', 'value': '4 GB'}]",
"Color: Grey/Silver Upto 1000 songs or 1900 photos Internal Memory: 8 GB Basic web browsing, music & video watching RAM: 1 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 8 MP / 5 MP Actual size in inches measured diagonally Screen Size: 5.5 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: Oreo 8.1 Four 'core elements' in this processor. They multitask to make this device run smoothly. Useful for gaming, HD video and photos CPU: Quad-core 1.4 GHz Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 4000mAh Region: Middle East Version",,Nokia,1,Electronics,1,Mobile Phones,299.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/Nokia_TA1080_grey_silver_1?1718375084",UAE,TA-1080 ,299.0,Nokia 2.1 8GB Grey Silver Dual Sim Smartphone TA1080,3.8,000000001056649002,1,https://uae.sharafdg.com/product/nokia-2-1-8gb-grey-silver-dual-sim-smartphone-ta1080/,"[{'name': 'Color', 'value': 'Grey/Silver'}, {'name': 'Internal Memory', 'value': '8 GB'}, {'name': 'OS Version', 'value': 'Oreo 8.1'}, {'name': 'Processor Number', 'value': 'MSM8917 Qualcomm Snapdragon™ 425'}, {'name': 'RAM', 'value': '1 GB'}]",
"Color: Blue Upto 16000 songs or 30000 photos Internal Memory: 128 GB Advanced games & running multiple applications RAM: 4 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 20 MP + 2 MP / 16 MP Actual size in inches measured diagonally Screen Size: 6.5 in It is version of software platform on top of which other programs, can run on mobile devices OS Version: Oreo 8.1 Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-core 2.2 GHz Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 3750mAh",,Honor,1,Electronics,1,Mobile Phones,929.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/000000001063545006_1?1718375084",UAE,JSN-L22 ,929.0,Honor 8X 128GB Blue 4G Dual Sim Smartphone,4.3,000000001063545006,1,https://uae.sharafdg.com/product/honor-8x-128gb-blue-4g-dual-sim-smartphone-3/,"[{'name': 'Color', 'value': 'Blue'}, {'name': 'Internal Memory', 'value': '128 GB'}, {'name': 'OS Version', 'value': 'Oreo 8.1'}, {'name': 'Processor Number', 'value': 'HiSilicon Kirin 710'}, {'name': 'RAM', 'value': '4 GB'}]",
"Color: Phantom Black Upto 32000 songs or 60000 photos Internal Memory: 256 GB Advanced games & running multiple applications RAM: 12 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 50 MP + 12 MP + 10 MP / 4 MP Actual size in inches measured diagonally Screen Size: 7.6 in Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 4400 mAh Region: Middle East Version",,Samsung,1,Electronics,1,Mobile Phones,6799.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S300847860_1?1726640033",UAE,SM-F946BZKDMEA ,6799.0,Samsung Galaxy Z Fold5 5G 256GB Phantom Black Smartphone - Middle East Version,4.4,S300847860,1,https://uae.sharafdg.com/product/samsung-galaxy-z-fold-5-5g-256gb-phantom-black-smartphone-middle-east-version/,"[{'name': 'Color', 'value': 'Phantom Black'}, {'name': 'Internal Memory', 'value': '256 GB'}, {'name': 'Processor Number', 'value': 'Snapdragon 8 Gen 2'}, {'name': 'RAM', 'value': '12 GB'}]",
"Color: Yellow Upto 16000 songs or 30000 photos Internal Memory: 128 GB Advanced games & running multiple applications RAM: 6 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 50 MP + 8 MP + 2 MP / 13 MP Actual size in inches measured diagonally Screen Size: 6.5 in Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-core Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 5000 mAh",,Samsung,1,Electronics,1,Mobile Phones,1198.5,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S400875561_1?1726561456",UAE,SM-A256EZYDMEA ,1198.5,Samsung Galaxy A25 128GB Yellow 5G Smartphone,4.2,S400875561,1,https://uae.sharafdg.com/product/samsung-galaxy-a25-128gb-yellow-5g-smartphone/,"[{'name': 'Color', 'value': 'Yellow'}, {'name': 'Internal Memory', 'value': '128 GB'}, {'name': 'RAM', 'value': '6 GB'}]",
"Color: Graphite Upto 32000 songs or 60000 photos Internal Memory: 256 GB Advanced games & running multiple applications RAM: 8 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 50 MP + 12 MP + 8 MP / 10 MP Actual size in inches measured diagonally Screen Size: 6.4 in Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-Core Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 4500 mAh",,Samsung,1,Electronics,1,Mobile Phones,2549.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S300859122_1?1726584025",UAE,SM-S711BZACMEA ,2549.0,Samsung Galaxy S23 FE 256GB Graphite 5G Smartphone,4.3,S300859122,1,https://uae.sharafdg.com/product/samsung-galaxy-s23-fe-256gb-graphite-5g-smartphone/,"[{'name': 'Color', 'value': 'Graphite'}, {'name': 'Internal Memory', 'value': '256 GB'}, {'name': 'Processor Number', 'value': 'Samsung Exynos 2200'}, {'name': 'RAM', 'value': '8 GB'}]",
"Color: Light Blue Upto 16000 songs or 30000 photos Internal Memory: 128 GB Advanced games & running multiple applications RAM: 6 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 50 MP + 8 MP + 2 MP / 13 MP Actual size in inches measured diagonally Screen Size: 6.5 in Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-Core Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 5000 mAh",,Samsung,1,Electronics,1,Mobile Phones,999.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S300870570_1?1726561207",UAE,SM-A256ELBDMEA ,999.0,Samsung A25 128GB 6GB Ram Light Blue 5G Smartphone,4.2,S300870570,1,https://uae.sharafdg.com/product/samsung-a25-128gb-light-blue-5g-smartphone/,"[{'name': 'Color', 'value': 'Light Blue'}, {'name': 'Internal Memory', 'value': '128 GB'}, {'name': 'RAM', 'value': '6 GB'}]",
"Color: Cream Upto 32000 songs or 60000 photos Internal Memory: 256 GB Advanced games & running multiple applications RAM: 8 GB Actual number of megapixels. More megapixels means more clear picture it can take Rear / Front Camera: 50 MP + 12 MP + 8 MP / 10 MP Actual size in inches measured diagonally Screen Size: 6.4 in Eight 'core elements' in the processor. They multitask to make the device run smoothly. Useful for high intensity gaming, HD video & photo editing CPU: Octa-Core Milliampere (mAh) hour is a measure of the capacity of the battery. The higher the mAh rating, the more powerful the battery Battery Capacity: 4500 mAh",,Samsung,1,Electronics,1,Mobile Phones,2549.0,AED,"https://pimcdn.sharafdg.com/cdn-cgi/image/width=300,height=300,fit=pad/images/S300859124_1?1726584026",UAE,SM-S711BZWCMEA ,2549.0,Samsung Galaxy S23 FE 256GB Cream 5G Smartphone,4.3,S300859124,1,https://uae.sharafdg.com/product/samsung-galaxy-s23-fe-256gb-cream-5g-smartphone/,"[{'name': 'Color', 'value': 'Cream'}, {'name': 'Internal Memory', 'value': '256 GB'}, {'name': 'Processor Number', 'value': 'Samsung Exynos 2200'}, {'name': 'RAM', 'value': '8 GB'}]",
